INFO 2024-08-21 10:09:41,776 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-21 10:09:41,778 autoreload Waiting for apps ready_event.
DEBUG 2024-08-21 10:09:41,879 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2024-08-21 10:09:41,997 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-21 10:09:42,036 autoreload File /usr/local/lib/python3.8/distutils/__init__.py first seen with mtime 1723514909.0
DEBUG 2024-08-21 10:09:42,036 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1724206123.5589576
DEBUG 2024-08-21 10:09:42,037 autoreload File /usr/local/lib/python3.8/urllib/__init__.py first seen with mtime 1723514908.0
DEBUG 2024-08-21 10:09:42,038 autoreload File /usr/local/lib/python3.8/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1724206123.5589576
DEBUG 2024-08-21 10:09:42,038 autoreload File /usr/local/lib/python3.8/lib-dynload/_lzma.cpython-38-x86_64-linux-gnu.so first seen with mtime 1723514897.0
DEBUG 2024-08-21 10:09:42,039 autoreload File /usr/local/lib/python3.8/lib-dynload/_hashlib.cpython-38-x86_64-linux-gnu.so first seen with mtime 1723514893.0
DEBUG 2024-08-21 10:09:42,039 autoreload File /usr/local/lib/python3.8/site-packages/pymysql/_auth.py first seen with mtime 1724206067.4660294
DEBUG 2024-08-21 10:09:42,040 autoreload File /usr/local/lib/python3.8/encodings/__init__.py first seen with mtime 1723514908.0
DEBUG 2024-08-21 10:09:42,040 autoreload File /usr/local/lib/python3.8/email/quoprimime.py first seen with mtime 1723514908.0
DEBUG 2024-08-21 10:09:42,041 autoreload File /usr/local/lib/python3.8/pprint.py first seen with mtime 1723514906.0
DEBUG 2024-08-21 10:09:42,041 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/dateformat.py first seen with mtime 1724206123.6689565
DEBUG 2024-08-21 10:09:42,042 autoreload File /usr/local/lib/python3.8/site-packages/django/http/cookie.py first seen with mtime 1724206123.6389568
DEBUG 2024-08-21 10:09:42,042 autoreload File /usr/local/lib/python3.8/site-packages/django/db/migrations/operations/base.py first seen with mtime 1724206123.608957
DEBUG 2024-08-21 10:09:42,043 autoreload File /usr/local/lib/python3.8/site-packages/django/middleware/csrf.py first seen with mtime 1724206123.6489568
DEBUG 2024-08-21 10:09:42,043 autoreload File /usr/local/lib/python3.8/site-packages/django/template/context.py first seen with mtime 1724206123.6489568
DEBUG 2024-08-21 10:09:42,044 autoreload File /usr/local/lib/python3.8/site-packages/pymysql/connections.py first seen with mtime 1724206067.4660294
DEBUG 2024-08-21 10:09:42,044 autoreload File /usr/local/lib/python3.8/site-packages/pymysql/err.py first seen with mtime 1724206067.4660294
DEBUG 2024-08-21 10:09:42,045 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/functions/math.py first seen with mtime 1724206123.628957
DEBUG 2024-08-21 10:09:42,045 autoreload File /usr/local/lib/python3.8/quopri.py first seen with mtime 1723514906.0
DEBUG 2024-08-21 10:09:42,045 autoreload File /usr/local/lib/python3.8/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1724206123.608957
DEBUG 2024-08-21 10:09:42,046 autoreload File /usr/local/lib/python3.8/types.py first seen with mtime 1723514906.0
DEBUG 2024-08-21 10:09:42,047 autoreload File /usr/local/lib/python3.8/site-packages/django/core/cache/__init__.py first seen with mtime 1724206123.5589576
DEBUG 2024-08-21 10:09:42,048 autoreload File /usr/local/lib/python3.8/threading.py first seen with mtime 1723514906.0
DEBUG 2024-08-21 10:09:42,048 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/security/sessions.py first seen with mtime 1724206123.5689573
DEBUG 2024-08-21 10:09:42,049 autoreload File /usr/local/lib/python3.8/json/decoder.py first seen with mtime 1723514908.0
DEBUG 2024-08-21 10:09:42,049 autoreload File /usr/local/lib/python3.8/site-packages/django/core/management/color.py first seen with mtime 1724206123.5789573
DEBUG 2024-08-21 10:09:42,050 autoreload File /usr/local/lib/python3.8/contextlib.py first seen with mtime 1723514906.0
DEBUG 2024-08-21 10:09:42,050 autoreload File /usr/local/lib/python3.8/lib-dynload/_decimal.cpython-38-x86_64-linux-gnu.so first seen with mtime 1723514905.0
DEBUG 2024-08-21 10:09:42,050 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/functions/window.py first seen with mtime 1724206123.628957
DEBUG 2024-08-21 10:09:42,051 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/__init__.py first seen with mtime 1724206123.5589576
DEBUG 2024-08-21 10:09:42,051 autoreload File /usr/local/lib/python3.8/site-packages/django/template/response.py first seen with mtime 1724206123.6489568
DEBUG 2024-08-21 10:09:42,051 autoreload File /usr/local/lib/python3.8/site-packages/django/core/management/commands/runserver.py first seen with mtime 1724206123.5889573
DEBUG 2024-08-21 10:09:42,051 autoreload File /usr/local/lib/python3.8/site-packages/django/urls/conf.py first seen with mtime 1724206123.6589568
DEBUG 2024-08-21 10:09:42,051 autoreload File /usr/local/lib/python3.8/bisect.py first seen with mtime 1723514906.0
DEBUG 2024-08-21 10:09:42,051 autoreload File /usr/local/lib/python3.8/lib-dynload/_sha512.cpython-38-x86_64-linux-gnu.so first seen with mtime 1723514895.0
DEBUG 2024-08-21 10:09:42,052 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/functions/text.py first seen with mtime 1724206123.628957
DEBUG 2024-08-21 10:09:42,052 autoreload File /usr/local/lib/python3.8/site-packages/django/core/handlers/exception.py first seen with mtime 1724206123.5689573
DEBUG 2024-08-21 10:09:42,052 autoreload File /usr/local/lib/python3.8/site-packages/django/core/files/images.py first seen with mtime 1724206123.5689573
DEBUG 2024-08-21 10:09:42,052 autoreload File /usr/local/lib/python3.8/site-packages/django/shortcuts.py first seen with mtime 1724206122.1489694
DEBUG 2024-08-21 10:09:42,052 autoreload File /usr/local/lib/python3.8/site-packages/django/urls/base.py first seen with mtime 1724206123.6589568
DEBUG 2024-08-21 10:09:42,053 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/fields/proxy.py first seen with mtime 1724206123.618957
DEBUG 2024-08-21 10:09:42,053 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/messages.py first seen with mtime 1724206123.5589576
DEBUG 2024-08-21 10:09:42,053 autoreload File /usr/local/lib/python3.8/site-packages/django/conf/locale/__init__.py first seen with mtime 1724206122.1489694
DEBUG 2024-08-21 10:09:42,053 autoreload File /usr/local/lib/python3.8/argparse.py first seen with mtime 1723514906.0
DEBUG 2024-08-21 10:09:42,053 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/caches.py first seen with mtime 1724206123.5589576
DEBUG 2024-08-21 10:09:42,053 autoreload File /usr/local/lib/python3.8/email/feedparser.py first seen with mtime 1723514908.0
DEBUG 2024-08-21 10:09:42,054 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/fields/related.py first seen with mtime 1724206123.618957
DEBUG 2024-08-21 10:09:42,054 autoreload File /usr/local/lib/python3.8/site-packages/pymysql/__init__.py first seen with mtime 1724206067.4660294
